['sinister', 'casino', 'Fails an examination']
['Outlawed', 'Pilot', 'decides what to watch']
['misunderstood', 'army', 'wreaks havoc']
['Outlawed', 'Dynasty', 'goes to school']
['dispossessed', 'mother', 'goes insane']
['impoverished', 'colonel', 'goes rogue']
['Flawed', 'mail carrier', 'defeats the evil ruler']
['Malfunctioning', 'plane', 'is blissfully unaware']
['bizzare', 'surgeon', 'finds out they are dying']
['conflicted', 'elder', 'hides from danger']
['mesmerizing', 'army', 'goes to bootcamp']
['one-armed', 'liger', "can't comprehend the state of things"]
['fearsome', 'technician', 'wreaks havoc']
['unfunny', 'Servant', 'is sentenced to death']
['Old', 'academic', 'overthrows a ruler']
['failing', 'Disease', 'Brings World Peace']
['dense', 'Mathmetician', 'Loses Family']
